ANIMAL,TINCISOR,BINCISOR,TCANINE,BCANINE,TPRMOLAR,BPRMOLAR,TMOLAR,BMOLAR
BROWNBAT,2.00,3.00,1.00,1.00,3.00,3.00,3.00,3.00
MOLE,3.00,2.00,1.00,0.00,3.00,3.00,3.00,3.00
SILVERHAIRBAT,2.00,3.00,1.00,1.00,2.00,3.00,3.00,3.00
PIGMYBAT,2.00,3.00,1.00,1.00,2.00,2.00,3.00,3.00
HOUSEBAT,2.00,3.00,1.00,1.00,1.00,2.00,3.00,3.00
REDBAT,1.00,3.00,1.00,1.00,2.00,2.00,3.00,3.00
PIKA,2.00,1.00,0.00,0.00,2.00,2.00,3.00,3.00
RABBIT,2.00,1.00,0.00,0.00,3.00,2.00,3.00,3.00
BEAVER,1.00,1.00,0.00,0.00,2.00,1.00,3.00,3.00
GROUNDHOG,1.00,1.00,0.00,0.00,2.00,1.00,3.00,3.00
GRAYSQUIRREL,1.00,1.00,0.00,0.00,1.00,1.00,3.00,3.00
HOUSEMOUSE,1.00,1.00,0.00,0.00,0.00,0.00,3.00,3.00
PORCUPINE,1.00,1.00,0.00,0.00,1.00,1.00,3.00,3.00
WOLF,3.00,3.00,1.00,1.00,4.00,4.00,2.00,3.00
BEAR,3.00,3.00,1.00,1.00,4.00,4.00,2.00,3.00
RACCOON,3.00,3.00,1.00,1.00,4.00,4.00,3.00,2.00
MARTEN,3.00,3.00,1.00,1.00,4.00,4.00,1.00,2.00
WEASEL,3.00,3.00,1.00,1.00,3.00,3.00,1.00,2.00
WOLVERINE,3.00,3.00,1.00,1.00,4.00,4.00,1.00,2.00
BADGER,3.00,3.00,1.00,1.00,3.00,3.00,1.00,2.00
RIVEROTTER,3.00,3.00,1.00,1.00,4.00,3.00,1.00,2.00
SEAOTTER,3.00,2.00,1.00,1.00,3.00,3.00,1.00,2.00
JAGUAR,3.00,3.00,1.00,1.00,3.00,2.00,1.00,1.00
COUGAR,3.00,3.00,1.00,1.00,3.00,2.00,1.00,1.00
FURSEAL,3.00,2.00,1.00,1.00,4.00,4.00,1.00,1.00
SEALION,3.00,2.00,1.00,1.00,4.00,4.00,1.00,1.00
GREYSEAL,3.00,2.00,1.00,1.00,3.00,3.00,2.00,2.00
ELEPHANTSEAL,2.00,1.00,1.00,1.00,4.00,4.00,1.00,1.00
REINDEER,0.00,4.00,1.00,0.00,3.00,3.00,3.00,3.00
ELK,0.00,4.00,1.00,0.00,3.00,3.00,3.00,3.00
DEER,0.00,4.00,0.00,0.00,3.00,3.00,3.00,3.00
MOOSE,0.00,4.00,0.00,0.00,3.00,3.00,3.00,3.00
